H4 LABOUR COSTS AND PRODUCTIVITY
Title,Year-ended wage growth,Year-ended private sector wage growth,Year-ended public sector wage growth,Quarterly wage growth,Quarterly private sector wage growth,Quarterly public sector wage growth,Year-ended non-farm unit labour costs growth,Year-ended non-farm average earnings per hour growth,Year-ended non-farm labour productivity per hour growth,Non-farm labour productivity per hour
Description,Wage price index; Year-ended change (in per cent),Wage price index; Private sector; Year-ended change (in per cent),Wage price index; Public sector; Year-ended change (in per cent),Wage price index; Quarterly change (in per cent),Wage price index; Private sector; Quarterly change (in per cent),Wage price index; Public sector; Quarterly change (in per cent),Non-farm nominal unit labour costs; Year-ended change (in per cent),Non-farm average earnings per hour; Year-ended change (in per cent),Non-farm labour productivity per hour; Year-ended change (in per cent),Non-farm labour productivity per hour; Index
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly
Type,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted
Units,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Index


Source,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS,ABS
Publication date,20-Aug-2026,20-Aug-2026,20-Aug-2026,20-Aug-2026,20-Aug-2026,20-Aug-2026,04-Jun-2026,04-Jun-2026,04-Jun-2026,04-Jun-2026
Series ID,GWPIYP,GWPIPRIYP,GWPIPUBYP,GWPIQP,GWPIPRIQP,GWPIPUBQP,GNFULCYP,GNFAEYP,GNFPROSQP,GNFPROSQI
30/09/1985,,,,,,,,,,65.9
31/12/1985,,,,,,,,,,65.2
31/03/1986,,,,,,,,,,64.1
30/06/1986,,,,,,,,,,63.6
30/09/1986,,,,,,,,,-3.8,63.4
31/12/1986,,,,,,,,,-1.5,64.2
31/03/1987,,,,,,,,,0.3,64.3
30/06/1987,,,,,,,,,2.5,65.2
30/09/1987,,,,,,,,,3.8,65.8
31/12/1987,,,,,,,,,3.1,66.2
31/03/1988,,,,,,,,,2.3,65.8
30/06/1988,,,,,,,,,1.7,66.3
30/09/1988,,,,,,,,,0.3,66.0
31/12/1988,,,,,,,,,-1.4,65.3
31/03/1989,,,,,,,,,-1.2,65.0
30/06/1989,,,,,,,,,-0.6,65.9
30/09/1989,,,,,,,,,-1.5,65.0
31/12/1989,,,,,,,,,-1.4,64.4
31/03/1990,,,,,,,6.5,7.3,0.8,65.5
30/06/1990,,,,,,,9.7,8.5,-1.1,65.2
30/09/1990,,,,,,,8.4,7.8,-0.3,64.8
31/12/1990,,,,,,,5.7,8.5,3.0,66.3
31/03/1991,,,,,,,5.2,5.9,0.9,66.1
30/06/1991,,,,,,,2.0,3.6,1.8,66.4
30/09/1991,,,,,,,-0.4,2.8,3.2,66.9
31/12/1991,,,,,,,2.8,4.1,1.2,67.1
31/03/1992,,,,,,,0.9,2.9,2.0,67.4
30/06/1992,,,,,,,1.7,4.1,2.1,67.8
30/09/1992,,,,,,,3.2,5.7,2.2,68.4
31/12/1992,,,,,,,-1.1,4.2,4.9,70.4
31/03/1993,,,,,,,0.4,4.5,3.6,69.8
30/06/1993,,,,,,,-0.2,3.8,3.8,70.4
30/09/1993,,,,,,,-1.0,2.4,3.2,70.6
31/12/1993,,,,,,,0.0,-0.2,-0.1,70.3
31/03/1994,,,,,,,0.4,1.8,1.4,70.8
30/06/1994,,,,,,,1.5,2.9,1.3,71.3
30/09/1994,,,,,,,-0.2,0.2,0.6,71.0
31/12/1994,,,,,,,0.2,2.2,2.3,71.9
31/03/1995,,,,,,,1.3,1.4,0.3,71.0
30/06/1995,,,,,,,1.9,-0.3,-1.8,70.0
30/09/1995,,,,,,,3.8,4.3,0.4,71.3
31/12/1995,,,,,,,6.4,5.5,-1.0,71.2
31/03/1996,,,,,,,3.3,4.9,1.4,72.0
30/06/1996,,,,,,,2.3,6.3,3.6,72.5
30/09/1996,,,,,,,2.4,4.4,1.8,72.6
31/12/1996,,,,,,,2.0,4.4,2.2,72.8
31/03/1997,,,,,,,1.4,3.6,2.2,73.6
30/06/1997,,,,,,,1.0,5.5,4.4,75.7
30/09/1997,,,,,,,1.8,6.1,4.5,75.9
31/12/1997,,,,0.9,0.9,0.8,-1.2,3.4,4.7,76.2
31/03/1998,,,,0.9,0.9,0.8,0.0,4.1,4.2,76.7
30/06/1998,,,,0.7,0.7,0.8,0.8,1.8,1.3,76.7
30/09/1998,3.3,3.1,3.5,0.7,0.6,1.2,0.0,3.0,2.9,78.1
31/12/1998,3.1,2.9,3.5,0.7,0.7,0.7,1.6,5.2,3.7,79.0
31/03/1999,3.1,2.8,4.1,0.9,0.7,1.3,0.4,3.7,3.4,79.3
30/06/1999,3.1,2.9,3.9,0.7,0.9,0.6,1.0,4.7,3.7,79.5
30/09/1999,3.1,2.9,3.4,0.7,0.6,0.7,1.8,3.5,2.0,79.7
31/12/1999,3.0,2.9,3.4,0.7,0.7,0.7,0.6,1.6,1.1,79.9
31/03/2000,2.7,2.8,2.5,0.6,0.7,0.4,4.0,4.5,0.8,79.9
30/06/2000,3.0,2.8,2.8,1.0,0.8,0.9,1.8,2.5,0.5,79.9
30/09/2000,3.1,3.2,2.9,0.8,1.0,0.8,2.7,2.5,-0.4,79.4
31/12/2000,3.4,3.5,3.0,1.0,0.9,0.8,5.8,6.7,0.8,80.5
31/03/2001,3.8,3.6,3.7,0.9,0.8,1.1,3.8,6.4,2.1,81.6
30/06/2001,3.7,3.7,4.0,0.9,0.9,1.1,5.2,7.6,2.3,81.7
30/09/2001,3.6,3.5,3.8,0.7,0.8,0.7,2.8,7.1,4.2,82.7
31/12/2001,3.4,3.2,3.6,0.8,0.7,0.7,0.6,4.5,3.6,83.4
31/03/2002,3.2,3.2,3.3,0.8,0.8,0.8,1.1,4.1,2.8,83.9
30/06/2002,3.1,3.2,3.1,0.8,0.9,0.9,0.4,4.9,4.7,85.5
30/09/2002,3.3,3.3,3.2,0.9,0.9,0.8,1.5,5.2,3.4,85.5
31/12/2002,3.4,3.5,3.5,0.9,0.9,0.9,1.8,3.8,2.2,85.2
31/03/2003,3.6,3.5,4.1,1.0,0.8,1.4,1.8,3.6,1.8,85.4
30/06/2003,3.6,3.3,4.2,0.8,0.7,1.0,3.6,3.5,-0.2,85.3
30/09/2003,3.6,3.3,4.7,0.9,0.9,1.3,2.0,2.8,0.8,86.2
31/12/2003,3.7,3.4,4.8,1.0,1.0,1.0,3.4,5.6,2.0,86.9
31/03/2004,3.5,3.4,4.2,0.9,0.7,0.9,3.0,5.5,2.2,87.3
30/06/2004,3.6,3.5,4.0,0.8,0.8,0.9,2.3,5.1,2.7,87.6
30/09/2004,3.6,3.3,3.9,0.8,0.7,1.1,4.8,7.0,2.3,88.2
31/12/2004,3.7,3.4,4.1,1.1,1.1,1.2,3.6,4.4,0.7,87.5
